Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

MNI.img	Telencephalon_L	514390	26.0000	467.0000	270.3111	85.2587	
MNI.img	Telencephalon_R	529373	0.0000e+00	486.0000	279.6398	88.4690	
MNI.img	Diencephalon_L	10798	59.0000	446.0000	303.2890	43.7232	
MNI.img	Diencephalon_R	10878	63.0000	421.0000	300.3907	45.1315	
MNI.img	Mesencephalon	13463	172.0000	467.0000	347.3360	38.7071	
MNI.img	Metencephalon	157300	36.0000	437.0000	246.0863	64.7549	
MNI.img	Myelencephalon	5729	0.0000e+00	389.0000	291.0548	44.0422	
MNI.img	CSF	161969	0.0000e+00	398.0000	104.2457	47.8415	



Type1-L2 Statistics

MNI.img	CerebralCortex_L	252863	26.0000	405.0000	197.3969	49.5027	
MNI.img	CerebralCortex_R	260151	0.0000e+00	410.0000	203.6527	49.7280	
MNI.img	CerebralNucli_L	15191	116.0000	406.0000	266.4741	50.5466	
MNI.img	CerebralNucli_R	16071	104.0000	431.0000	271.3384	53.1288	
MNI.img	Thalamus_L	7164	190.0000	398.0000	309.1367	29.4848	
MNI.img	Thalamus_R	7385	156.0000	405.0000	305.9342	34.1757	
MNI.img	BasalForebrain_L	3634	59.0000	446.0000	291.7611	61.3704	
MNI.img	BasalForebrain_R	3493	63.0000	421.0000	288.6705	60.5931	
MNI.img	Mesencephalon_L	6582	216.0000	467.0000	347.3108	36.4387	
MNI.img	Mesencephalon_R	6881	172.0000	465.0000	347.3601	40.7590	
MNI.img	Metencephalon_R	79584	40.0000	437.0000	252.5694	64.2969	
MNI.img	Metencephalon_L	77716	36.0000	391.0000	239.4474	64.5493	
MNI.img	Myelencephalon_L	2932	0.0000e+00	382.0000	288.3322	44.1500	
MNI.img	Myelencephalon_R	2797	0.0000e+00	389.0000	293.9088	43.7474	
MNI.img	WhiteMatter_L	246336	99.0000	467.0000	345.3940	37.5535	
MNI.img	WhiteMatter_R	253151	68.0000	486.0000	358.2551	39.0887	
MNI.img	Ventricle	35904	10.0000	398.0000	110.1216	72.2452	
MNI.img	Sulcus_L	66548	0.0000e+00	244.0000	101.8388	37.0454	
MNI.img	Sulcus_R	59517	0.0000e+00	234.0000	103.3922	38.9565	



Type1-L3 Statistics

MNI.img	Frontal_L	78644	60.0000	403.0000	203.6470	47.8464	
MNI.img	Frontal_R	81492	0.0000e+00	389.0000	205.2898	49.5190	
MNI.img	Parietal_L	40117	53.0000	360.0000	206.2822	50.1091	
MNI.img	Parietal_R	38583	46.0000	394.0000	214.4725	50.0970	
MNI.img	Temporal_L	53751	26.0000	355.0000	182.9194	48.0234	
MNI.img	Temporal_R	55995	0.0000e+00	380.0000	196.3269	48.3351	
MNI.img	Limbic_L	35614	34.0000	405.0000	199.7156	47.4791	
MNI.img	Limbic_R	38243	0.0000e+00	410.0000	199.1241	47.9113	
MNI.img	Occipital_L	36960	30.0000	358.0000	193.9848	51.8593	
MNI.img	Occipital_R	38311	34.0000	377.0000	205.1658	51.4464	
MNI.img	Insula_L	9778	43.0000	351.0000	194.4526	43.5130	
MNI.img	Insula_R	9657	55.0000	359.0000	201.0385	45.9905	
MNI.img	BasalGang_L	13190	146.0000	406.0000	277.1440	44.3305	
MNI.img	BasalGang_R	13941	104.0000	431.0000	281.6660	47.6809	
MNI.img	Thalamus_L	7164	190.0000	398.0000	309.1367	29.4848	
MNI.img	Thalamus_R	7385	156.0000	405.0000	305.9342	34.1757	
MNI.img	BasalForebrain_L	3634	59.0000	446.0000	291.7611	61.3704	
MNI.img	BasalForebrain_R	3493	63.0000	421.0000	288.6705	60.5931	
MNI.img	midbrain_L	6582	216.0000	467.0000	347.3108	36.4387	
MNI.img	midbrain_R	6881	172.0000	465.0000	347.3601	40.7590	
MNI.img	Cerebellum_R	69699	40.0000	437.0000	243.0966	62.4818	
MNI.img	Cerebellum_L	68545	36.0000	391.0000	229.0177	61.0562	
MNI.img	Pons_L	9171	173.0000	390.0000	317.4001	23.5853	
MNI.img	Pons_R	9885	143.0000	391.0000	319.3620	25.7412	
MNI.img	Medulla_L	2932	0.0000e+00	382.0000	288.3322	44.1500	
MNI.img	Medulla_R	2797	0.0000e+00	389.0000	293.9088	43.7474	
MNI.img	AnteriorWM_L	86298	123.0000	443.0000	349.2750	32.3543	
MNI.img	AnteriorWM_R	92162	114.0000	446.0000	355.2530	33.5971	
